movz x0, #0x1234, lsl #48	8046e2d2	
movz w1, #0x1234	81468252	
movk x0, #0x1234	804682f2	
movk x0, #0x1234, lsl #16	8046a2f2	
movk x0, #0x1234, lsl #32	8046c2f2	
movk x0, #0x1234, lsl #48	8046e2f2	
movk w1, #0x1234	81468272	
movn x0, #0x1234	80468292	
movn x0, #0x1234, lsl #16	8046a292	
movn x0, #0x1234, lsl #32	8046c292	
movn x0, #0x1234, lsl #48	8046e292	
movn w1, #0x1234	81468212	
lsl x0, x1, #1	20f87fd3	
lsl w0, w1, #1	20781f53	
lsl x0, x1, #3	20f07dd3	
lsl w0, w1, #3	20701d53	
lsl x0, x1, #31	208061d3	
lsl w0, w1, #31	20000153	
lsr x0, x1, #1	20fc41d3	
lsr w0, w1, #1	207c0153	
lsr x0, x1, #3	20fc43d3	
lsr w0, w1, #3	207c0353	
lsr x0, x1, #31	20fc5fd3	
lsr w0, w1, #31	207c1f53	
asr x0, x1, #1	20fc4193	
asr w0, w1, #1	207c0113	
asr x0, x1, #3	20fc4393	
asr w0, w1, #3	207c0313	
asr x0, x1, #31	20fc5f93	
asr w0, w1, #31	207c1f13	
ubfx x0, x1, #4, #8	202c44d3	
ubfx w0, w1, #2, #6	201c0253	
sbfx x0, x1, #4, #8	202c4493	
sbfx w0, w1, #2, #6	201c0213	
ubfiz x0, x1, #4, #8	201c7cd3	
ubfiz w0, w1, #2, #6	20141e53	
sbfiz x0, x1, #4, #8	201c7c93	
sbfiz w0, w1, #2, #6	20141e13	
bfi x0, x1, #4, #8	201c7cb3	
bfi w0, w1, #2, #6	20141e33	
bfxil x0, x1, #4, #8	202c44b3	
bfxil w0, w1, #2, #6	201c0233	
sxtw x0, w1	207c4093	
sxtb x0, w1	201c4093	
sxth x0, w1	203c4093	
uxtw x0, w1	207c40d3	
uxtb w0, w1	201c0053	
uxth w0, w1	203c0053	
clz x0, x1	2010c0da	
clz w0, w1	2010c05a	
cls x0, x1	2014c0da	
cls w0, w1	2014c05a	
rbit x0, x1	2000c0da	
rbit w0, w1	2000c05a	
rev x0, x1	200cc0da	
rev w0, w1	2008c05a	
